id,account_num,amount,currency,trx_type,account_to,narrative,status_trx,trx_date,trx_time,criteria_anomali,description_anomali,code_transaction,created_by,created_date,updated_by,updated_date
414aa2ca-1734-44df-8cbf-101080c3752c,9246463863,335000,IDR,D,1001188797,Transfer ke BNI - ARIF SETIAWAN,SUCCESS,2025-09-05,21:39:35,0,Normal,TRX:TQjx4tWdLONN3nuhQvgHLS,SYSTEM,2025-09-07 11:31:32.738334,SYSTEM,2025-09-07 11:31:32.738337
cec5591d-1c77-40c1-8477-8fe13f27a686,2081937710,193000,IDR,D,6259451671,Transfer ke JAGO - JOHN JOHNSON,SUCCESS,2025-09-05,21:39:37,0,Normal,TRX:ym45gi2WBP5VXMFjLwBBtJ,SYSTEM,2025-09-07 11:31:32.738344,SYSTEM,2025-09-07 11:31:32.738344
e33e91a1-9c26-429a-8b08-9ed707fdbba9,9638600193,63000,IDR,D,7002467046,Transfer ke BNI - FARAH KUSUMA,SUCCESS,2025-09-05,21:39:38,0,Normal,TRX:DTvrt-Z-k7CKGx0DymgZw8,SYSTEM,2025-09-07 11:31:32.738348,SYSTEM,2025-09-07 11:31:32.738348
22916975-d21b-4ab9-85e9-77573c959279,5981094393,193000,IDR,D,5805024034,Transfer ke BNI - DEDI SETIAWAN,SUCCESS,2025-09-05,21:39:39,0,Normal,TRX:gbzikSKkkUUgoeJRWzDMlS,SYSTEM,2025-09-07 11:31:32.738351,SYSTEM,2025-09-07 11:31:32.738351
2bea2a35-9845-4f11-aea7-d783f6723566,2568717746,189000,IDR,D,2314499543,Transfer ke BNI - YUNI PRATAMA,SUCCESS,2025-09-05,21:39:40,0,Normal,TRX:yFMWXd-YgjWlApUMo7v6S2,SYSTEM,2025-09-07 11:31:32.738354,SYSTEM,2025-09-07 11:31:32.738354
6e51542d-f2a7-4628-9ffb-d7c934300d90,9239909016,469000,IDR,D,1944294218,Transfer ke BNI - RINA PERMANA,SUCCESS,2025-09-05,21:39:42,0,Normal,TRX:ThUNXghzmGZjQ4MS7-LSM5,SYSTEM,2025-09-07 11:31:32.738356,SYSTEM,2025-09-07 11:31:32.738356
18bdced6-d259-4c6f-a150-62b10884def5,4389411164,287000,IDR,D,3317120443,Transfer ke PERMATA - MARY WILLIAMS,SUCCESS,2025-09-05,21:39:43,0,Normal,TRX:xCYIgQ186eRnLgfF523hTz,SYSTEM,2025-09-07 11:31:32.738358,SYSTEM,2025-09-07 11:31:32.738358
8962b895-53c0-41a0-aee1-678ddde7a480,2708880363,640000,IDR,D,1763330520,Transfer ke BNI - FITRI UTAMA,SUCCESS,2025-09-05,21:39:44,0,Normal,TRX:2pv27eef78qzvFMSfHj7SV,SYSTEM,2025-09-07 11:31:32.738360,SYSTEM,2025-09-07 11:31:32.738361
61e45e5d-01fc-43f1-be0e-2272de52631a,7077870541,125000,IDR,D,6481487125,Transfer ke PERMATA - JOHN DAVIS,SUCCESS,2025-09-05,21:39:45,0,Normal,TRX:BRHQMnJxPV6GReMiHKDeKA,SYSTEM,2025-09-07 11:31:32.738362,SYSTEM,2025-09-07 11:31:32.738363
df58ab0a-0591-43f6-95f9-835873780465,4626749635,511000,IDR,D,9582300621,Transfer ke BCA - ROBERT DAVIS,SUCCESS,2025-09-05,21:39:47,0,Normal,TRX:sqAfAXPBJyF33EgHVmHKDK,SYSTEM,2025-09-07 11:31:32.738365,SYSTEM,2025-09-07 11:31:32.738365
