id,account_num,amount,currency,trx_type,account_to,narrative,status_trx,trx_date,trx_time,criteria_anomali,description_anomali,code_transaction
4bdec7e5-81af-49de-a1f0-6c4d6655d12b,9246463863,335000,IDR,D,1001188797,Transfer ke BNI - ARIF SETIAWAN,SUCCESS,2025-09-05,21:39:35,0,Normal,TRX:TQjx4tWdLONN3nuhQvgHLS
00e9f7e7-17b7-43ce-a6f7-59df65eb7608,2081937710,193000,IDR,D,6259451671,Transfer ke JAGO - JOHN JOHNSON,SUCCESS,2025-09-05,21:39:37,0,Normal,TRX:ym45gi2WBP5VXMFjLwBBtJ
b75ed8d7-c915-4a90-a061-7e6cdd3c7741,9638600193,63000,IDR,D,7002467046,Transfer ke BNI - FARAH KUSUMA,SUCCESS,2025-09-05,21:39:38,0,Normal,TRX:DTvrt-Z-k7CKGx0DymgZw8
bb526554-cfe1-4368-b91f-b0a0697d3d31,5981094393,193000,IDR,D,5805024034,Transfer ke BNI - DEDI SETIAWAN,SUCCESS,2025-09-05,21:39:39,0,Normal,TRX:gbzikSKkkUUgoeJRWzDMlS
6183860b-a5d8-4468-bb66-28fb912ce88a,2568717746,189000,IDR,D,2314499543,Transfer ke BNI - YUNI PRATAMA,SUCCESS,2025-09-05,21:39:40,0,Normal,TRX:yFMWXd-YgjWlApUMo7v6S2
452110ef-d592-4679-9747-3f78d5a1f50a,9239909016,469000,IDR,D,1944294218,Transfer ke BNI - RINA PERMANA,SUCCESS,2025-09-05,21:39:42,0,Normal,TRX:ThUNXghzmGZjQ4MS7-LSM5
a5b4d069-8771-48b4-9a49-14ca742c6950,4389411164,287000,IDR,D,3317120443,Transfer ke PERMATA - MARY WILLIAMS,SUCCESS,2025-09-05,21:39:43,0,Normal,TRX:xCYIgQ186eRnLgfF523hTz
d023cd14-643f-480f-ac18-74e7428a1b67,2708880363,640000,IDR,D,1763330520,Transfer ke BNI - FITRI UTAMA,SUCCESS,2025-09-05,21:39:44,0,Normal,TRX:2pv27eef78qzvFMSfHj7SV
f94c529a-b00a-445b-a602-b2b28274555a,7077870541,125000,IDR,D,6481487125,Transfer ke PERMATA - JOHN DAVIS,SUCCESS,2025-09-05,21:39:45,0,Normal,TRX:BRHQMnJxPV6GReMiHKDeKA
184ee65f-3004-4005-bae7-4d56860ce71e,4626749635,511000,IDR,D,9582300621,Transfer ke BCA - ROBERT DAVIS,SUCCESS,2025-09-05,21:39:47,0,Normal,TRX:sqAfAXPBJyF33EgHVmHKDK
95190fc7-70c1-4aa0-890f-384d32e868f6,5581764356,251000,IDR,D,8027275389,Transfer ke BNI - RINA NUGROHO,SUCCESS,2025-09-05,21:39:48,0,Normal,TRX:nHSAGcSl7AmUAkq85TU2fw
424bce89-6548-4eaf-887d-a25c5f7b00cd,1262316554,225000,IDR,D,7573055140,Transfer ke BRI - DAVID GARCIA,SUCCESS,2025-09-05,21:39:49,0,Normal,TRX:PiwBskWfPpDpvcDBf7Cwhb
070e99c6-36f1-4e9d-8528-3f5eb091677e,4781868184,27000,IDR,D,7568406940,Transfer ke BNI - JOKO FIRMANSYAH,SUCCESS,2025-09-05,21:39:50,0,Normal,TRX:tHDWqVdQHVuaAq9ETsRGYY
a036e17d-d5c5-412e-b667-16e810e4e944,4043454456,106000,IDR,D,8282691405,Transfer ke BNI - RAHMAT UTAMA,SUCCESS,2025-09-05,21:39:51,0,Normal,TRX:zB6ayO7zr5sZpmBVhcKqPW
89e43c46-f52c-4588-aa8d-ba618f490013,7283194447,84000,IDR,D,3579800165,Transfer ke BNI - RATNA WIBISONO,SUCCESS,2025-09-05,21:39:53,0,Normal,TRX:cJKgHrlC-ADGOuPvPvkwiX
e2261f58-60d3-4646-a49d-0af5ed9ad9d1,6273387403,475000,IDR,D,9862146667,Transfer ke BNI - INTAN NUGROHO,SUCCESS,2025-09-05,21:39:54,0,Normal,TRX:41D2e2BpwnXzcT3Bj3-94a
39152afb-5dda-4327-9958-cfb6d801b66c,3102671140,87000,IDR,D,7635243971,Transfer ke MANDIRI - LINDA MARTINEZ,SUCCESS,2025-09-05,21:39:55,0,Normal,TRX:T0H-EknLWay19ZI7bLYKOC
7d7bca8e-118e-4e9c-988c-d1240e6e1219,4182583015,191000,IDR,D,9226426184,Transfer ke BNI - SURYA SUSANTO,SUCCESS,2025-09-05,21:39:57,0,Normal,TRX:hk0LOAIFfYTQQKVqEMV7TP
239c0245-18ca-4bef-a1f5-8f353ec68175,4993400030,373000,IDR,D,5372118428,Transfer ke PERMATA - JAMES MILLER,SUCCESS,2025-09-05,21:39:58,0,Normal,TRX:GpuI3RY9ToweU32cHkpqN2
488cea75-3fad-4bdc-9e65-a15c0f4fbf44,5869740843,169000,IDR,D,2118424454,Transfer ke BRI - PATRICIA BROWN,SUCCESS,2025-09-05,21:39:59,0,Normal,TRX:UGvPRehthsnpxMqNnSQzrZ
d5d4ab35-006a-466b-a19d-f1c091e487cb,1368927904,774000,IDR,D,3974018136,Transfer ke BNI - RATNA NUGROHO,SUCCESS,2025-09-05,21:40:00,0,Normal,TRX:x6YaU9ym3q9QDd3T8VCaIb
f00b3a53-21bc-490c-87ca-1d7fda18b138,2344087545,859000,IDR,D,8373544187,Transfer ke PERMATA - JAMES SMITH,SUCCESS,2025-09-05,21:40:02,0,Normal,TRX:43GxWyhaVKa47aVjk4VVMU
adb6b1c6-9b55-4f82-ac5d-1cc3f2af5e49,4043454456,961000,IDR,D,9130076137,Transfer ke BNI - TIARA SUSANTO,SUCCESS,2025-09-05,21:40:03,0,Normal,TRX:Kwr-q6ByVhDpO6DWSz-VOD
26973fc1-fed7-41cd-87a5-18b025c73196,4026773905,319000,IDR,D,7337980136,Transfer ke BNI - ANISA HARYANTO,SUCCESS,2025-09-05,21:40:04,0,Normal,TRX:Rg6itaMc7XINiz4UKHTXiJ
e1638e55-6d39-448f-b41b-eb9b09e34006,5581764356,111000,IDR,D,6755580006,Transfer ke BRI - JOHN JONES,SUCCESS,2025-09-05,21:40:05,0,Normal,TRX:W0G9UcLxQbPNy-FdlLNe4l
1ccb798f-a121-4736-9038-7f6173c8d346,7886988617,174000,IDR,D,2315399362,Transfer ke CIMB - ELIZABETH RODRIGUEZ,SUCCESS,2025-09-05,21:40:07,0,Normal,TRX:FGsOcnLGsjkIWdXKcwgFxN
1f84475b-c418-4933-b152-fd59d722da4e,3191464702,14000,IDR,D,9717606490,Transfer ke MANDIRI - LINDA JONES,SUCCESS,2025-09-05,21:40:08,0,Normal,TRX:zCnxQh9xiAEIf7SxwA2NJF
