id,account_num,amount,currency,trx_type,account_to,narrative,status_trx,trx_date,trx_time,created_date,created_by,updated_date,updated_by,criteria_anomali,description_anomali,code_transaction
345440a7-9f7a-4657-9095-8b61ba16847f,9246463863,335000,IDR,D,1001188797,Transfer ke BNI - ARIF SETIAWAN,SUCCESS,2025-09-05,21:39:35,,,,,0,Normal,TRX:TQjx4tWdLONN3nuhQvgHLS
da4e9c5c-a4ef-4aa6-a709-17b771743a0c,2081937710,193000,IDR,D,6259451671,Transfer ke JAGO - JOHN JOHNSON,SUCCESS,2025-09-05,21:39:37,,,,,0,Normal,TRX:ym45gi2WBP5VXMFjLwBBtJ
9b712303-2af7-4661-ba50-08cdcb291de6,9638600193,63000,IDR,D,7002467046,Transfer ke BNI - FARAH KUSUMA,SUCCESS,2025-09-05,21:39:38,,,,,0,Normal,TRX:DTvrt-Z-k7CKGx0DymgZw8
1d46e16f-5693-409b-b103-fb462e5b9793,5981094393,193000,IDR,D,5805024034,Transfer ke BNI - DEDI SETIAWAN,SUCCESS,2025-09-05,21:39:39,,,,,0,Normal,TRX:gbzikSKkkUUgoeJRWzDMlS
bb207491-0790-4e8c-a8d5-32dcf71993cb,2568717746,189000,IDR,D,2314499543,Transfer ke BNI - YUNI PRATAMA,SUCCESS,2025-09-05,21:39:40,,,,,0,Normal,TRX:yFMWXd-YgjWlApUMo7v6S2
3feb367f-be99-456b-bc4b-12f7ed1df917,9239909016,469000,IDR,D,1944294218,Transfer ke BNI - RINA PERMANA,SUCCESS,2025-09-05,21:39:42,,,,,0,Normal,TRX:ThUNXghzmGZjQ4MS7-LSM5
494a189f-ff81-49c8-96a8-38b0d2e85363,4389411164,287000,IDR,D,3317120443,Transfer ke PERMATA - MARY WILLIAMS,SUCCESS,2025-09-05,21:39:43,,,,,0,Normal,TRX:xCYIgQ186eRnLgfF523hTz
60600bb6-47ec-43df-8058-c6e0836e56c0,2708880363,640000,IDR,D,1763330520,Transfer ke BNI - FITRI UTAMA,SUCCESS,2025-09-05,21:39:44,,,,,0,Normal,TRX:2pv27eef78qzvFMSfHj7SV
94614c6f-9afa-401d-b1e8-c96f308700ba,7077870541,125000,IDR,D,6481487125,Transfer ke PERMATA - JOHN DAVIS,SUCCESS,2025-09-05,21:39:45,,,,,0,Normal,TRX:BRHQMnJxPV6GReMiHKDeKA
a49b7ac2-4340-42ab-9f96-5a7f157dc1aa,4626749635,511000,IDR,D,9582300621,Transfer ke BCA - ROBERT DAVIS,SUCCESS,2025-09-05,21:39:47,,,,,0,Normal,TRX:sqAfAXPBJyF33EgHVmHKDK
