id,account_num,amount,currency,trx_type,account_to,narrative,status_trx,trx_date,trx_time,criteria_anomali,description_anomali,code_transaction,created_by,created_date,updated_by,updated_date
8356a0f5-ccb6-4181-889d-7216dc034dc5,9246463863,335000,IDR,D,1001188797,Transfer ke BNI - ARIF SETIAWAN,SUCCESS,2025-09-05,21:39:35,0,Normal,TRX:TQjx4tWdLONN3nuhQvgHLS,SYSTEM,2025-09-07 11:28:03.553735,SYSTEM,2025-09-07 11:28:03.553741
a2e1db6b-936c-4d1a-8b64-486ac63e9d35,2081937710,193000,IDR,D,6259451671,Transfer ke JAGO - JOHN JOHNSON,SUCCESS,2025-09-05,21:39:37,0,Normal,TRX:ym45gi2WBP5VXMFjLwBBtJ,SYSTEM,2025-09-07 11:28:03.553755,SYSTEM,2025-09-07 11:28:03.553755
bca39932-cf14-48fc-9410-443e6abb0f8a,9638600193,63000,IDR,D,7002467046,Transfer ke BNI - FARAH KUSUMA,SUCCESS,2025-09-05,21:39:38,0,Normal,TRX:DTvrt-Z-k7CKGx0DymgZw8,SYSTEM,2025-09-07 11:28:03.553766,SYSTEM,2025-09-07 11:28:03.553766
7b086d62-5040-4b20-8bc0-89244e366d21,5981094393,193000,IDR,D,5805024034,Transfer ke BNI - DEDI SETIAWAN,SUCCESS,2025-09-05,21:39:39,0,Normal,TRX:gbzikSKkkUUgoeJRWzDMlS,SYSTEM,2025-09-07 11:28:03.553771,SYSTEM,2025-09-07 11:28:03.553771
681f7bee-38c0-4456-ac9d-44c352bee12c,2568717746,189000,IDR,D,2314499543,Transfer ke BNI - YUNI PRATAMA,SUCCESS,2025-09-05,21:39:40,0,Normal,TRX:yFMWXd-YgjWlApUMo7v6S2,SYSTEM,2025-09-07 11:28:03.553775,SYSTEM,2025-09-07 11:28:03.553775
181a3854-1b14-49ae-8a8f-57a606d9385b,9239909016,469000,IDR,D,1944294218,Transfer ke BNI - RINA PERMANA,SUCCESS,2025-09-05,21:39:42,0,Normal,TRX:ThUNXghzmGZjQ4MS7-LSM5,SYSTEM,2025-09-07 11:28:03.553779,SYSTEM,2025-09-07 11:28:03.553780
ea1506f8-0da6-44e2-b185-02a6dc04da99,4389411164,287000,IDR,D,3317120443,Transfer ke PERMATA - MARY WILLIAMS,SUCCESS,2025-09-05,21:39:43,0,Normal,TRX:xCYIgQ186eRnLgfF523hTz,SYSTEM,2025-09-07 11:28:03.553783,SYSTEM,2025-09-07 11:28:03.553783
f3442860-3bb6-42a7-899c-6ea5458ac6ba,2708880363,640000,IDR,D,1763330520,Transfer ke BNI - FITRI UTAMA,SUCCESS,2025-09-05,21:39:44,0,Normal,TRX:2pv27eef78qzvFMSfHj7SV,SYSTEM,2025-09-07 11:28:03.553787,SYSTEM,2025-09-07 11:28:03.553788
fe7fcfbd-db37-4604-afad-32b765bffbc7,7077870541,125000,IDR,D,6481487125,Transfer ke PERMATA - JOHN DAVIS,SUCCESS,2025-09-05,21:39:45,0,Normal,TRX:BRHQMnJxPV6GReMiHKDeKA,SYSTEM,2025-09-07 11:28:03.553791,SYSTEM,2025-09-07 11:28:03.553791
edb57e4c-31e8-423e-84be-72725f42c265,4626749635,511000,IDR,D,9582300621,Transfer ke BCA - ROBERT DAVIS,SUCCESS,2025-09-05,21:39:47,0,Normal,TRX:sqAfAXPBJyF33EgHVmHKDK,SYSTEM,2025-09-07 11:28:03.553795,SYSTEM,2025-09-07 11:28:03.553796
